id	age	height	weight	dash	bench	military	team
117	18	69	NA	13.17	85	59	n
118	16	64	NA	16.23	89	62	n
119	18	68	165	14.67	81	56	n
120	16	64	NA	14.03	80	56	n
121	17	65	NA	10.89	100	70	y
122	17	68	NA	14.46	75	52	n
123	17	64	NA	17.16	88	61	n
124	17	70	164	13.35	85	59	n
125	17	68	NA	16.36	87	60	n
126	17	64	NA	14.46	84	58	n
127	17	65	NA	11.83	94	65	y
128	17	64	157	15.09	85	59	n
129	16	73	NA	14.36	87	60	n
130	17	62	196	15.33	109	76	y
131	17	80	NA	17.57	82	57	n
132	17	67	NA	10.54	107	74	y
133	17	66	142	12.26	90	62	n
134	17	71	188	11.27	115	80	y
135	16	69	172	13.69	82	57	n
136	17	72	NA	15.2	118	82	y
137	17	66	NA	12.94	72	50	n
138	16	68	NA	13.47	85	59	n
139	17	64	169	19.46	92	64	n
140	17	68	NA	15.5	91	63	n
141	16	67	157	15.83	89	62	n
142	17	66	NA	13.82	76	53	n
143	17	65	165	15.44	87	60	n
144	17	61	139	18.27	99	69	n
145	17	68	NA	14.48	93	65	n
146	17	68	165	14.79	84	58	n
147	18	68	NA	13.51	97	67	n
148	18	64	NA	13.75	103	72	y
149	17	68	154	13.27	85	59	n
150	15	75	171	10.95	93	65	y
151	17	72	160	13.95	121	84	y
152	19	66	161	12.98	92	64	n
153	17	72	NA	12.92	100	70	y
154	17	70	150	15.45	84	58	n
155	17	71	189	10.71	111	77	y
156	18	72	141	17.28	84	58	n
157	18	70	NA	11.45	93	65	n
158	17	73	NA	14.83	105	73	y
159	17	72	NA	11.45	85	59	n
160	17	59	171	17.04	84	58	n
161	17	67	158	11.46	77	53	n
162	17	72	162	15.88	82	57	n
163	17	70	146	13.48	79	55	n
164	16	69	166	14.32	81	56	n
165	17	65	150	11.44	89	62	n
166	17	65	155	15.96	67	46	n
167	17	70	183	10.97	105	73	y
168	18	65	160	15.89	85	59	n
169	16	66	NA	15.98	81	56	n
170	18	72	NA	16.43	105	73	y
171	17	69	NA	14.37	88	61	n
172	17	66	170	14.68	89	62	n
173	17	67	NA	19.21	87	60	n
174	17	73	NA	12.48	85	59	n
175	17	72	201	15.39	110	77	y
176	17	71	NA	15.14	85	59	n
177	16	69	NA	15.05	92	64	n
178	17	72	186	14.86	109	76	y
179	17	70	NA	14.48	103	72	y
180	17	72	NA	12.08	126	88	y
181	17	59	158	12.97	75	52	n
182	17	70	171	13.2	91	63	n
183	17	68	NA	16.12	77	53	n
184	17	68	NA	17.3	79	55	n
185	17	70	163	14.22	81	56	n
186	17	76	NA	15.28	103	72	y
187	18	58	NA	17.8	76	53	n
188	17	75	NA	15.33	74	51	n
189	17	73	NA	17.68	89	62	n
190	17	69	NA	7.49	110	77	y
191	17	67	NA	14.53	87	60	n
192	17	66	147	12.56	88	61	n
193	17	68	NA	15.5	85	59	n
194	17	74	NA	15.71	88	61	n
195	17	66	181	14.83	87	60	n
196	17	66	172	11.41	83	58	n
197	17	69	NA	14.96	110	77	y
198	16	72	NA	13.61	84	58	n
199	17	69	188	12.48	103	72	y

