"age" "height" "weight" "pulse" "drink" "edu" "fitbit" "bike" "eval" "coach" "lost"
48 64 161 74 y y n y n n n
36 66 163 70 y n y n n n y
41 68 211 70 n y n n n y n
54 65 162 47 y y n n n n n
44 71 211 68 n y n n n n n
42 69 137 66 n y n n n y n
37 68 177 82 y y y n n y y
36 70 149 64 n y y n y n y
45 65 196 59 y y y y n y n
45 68 145 56 y n n y y y n
38 72 229 50 y y n y n n n
53 70 190 71 y y y n n n n
33 68 165 53 n y y y n n y
47 71 221 62 n y y y n n n
38 66 189 77 y n n n n n n
43 71 158 63 n y y y n n n
45 68 161 62 y y n n n n y
50 73 231 70 n y n n n n n
32 68 184 63 y y n y n n n
37 63 177 71 n y n y y n y
48 61 156 52 y n y n n y y
37 69 212 70 y y n n n n n
44 67 168 70 y n y n n n y
36 69 190 63 y y n n n n n
57 72 246 40 y y y n n y y
46 74 230 46 y y n n n n n
35 68 167 70 y n n n n n n
40 69 220 74 y y y n y y y
46 73 207 70 n y n n n n n
53 69 145 50 n n n n n y y
43 70 218 44 n y n n y n n
40 71 227 60 n y y n n n y
40 62 150 49 y y n y n n y
33 66 190 75 y y n n y n y
34 72 243 71 n y n n y n y
41 71 177 78 y y y n y y y
55 67 158 47 n y n n n n n
38 67 163 49 y y y y y n y
42 64 145 44 n y n y n n y
41 65 131 65 n y y y n y n
38 71 233 72 y y n n n n n
51 68 208 50 y y n n n y y
46 66 169 43 y y n n n n n
55 65 134 58 y y y n n n n
54 69 199 71 n y n n y n y
54 68 199 56 y y n n n y y
40 67 167 38 y n n n y y y
46 68 212 72 y y n y n n n
45 67 177 77 n y n n y n n
44 66 187 68 y y n n n n n
44 68 163 56 y y n y n n y
56 66 186 77 y y n n y n y
45 68 161 61 n y n n y n n
52 66 195 51 y y n y n y y
48 57 102 53 y n n n n y y
45 73 227 50 y y n n n y y
34 75 219 40 y y n y n n y
39 70 169 60 y n n y y n n
40 66 185 76 y y n n y n y
49 68 163 73 y n y n y n y
50 66 172 58 y n n y y n n
45 67 195 50 y n n n n n n
34 65 188 69 n n n n n n n
45 74 258 71 n y n n n y n
45 70 193 75 n y y n y n y
57 69 208 65 n n n y n y n
39 64 130 55 y y n y y y n
45 68 161 58 n n y n n y n
52 71 144 52 y y n n y n n
40 63 135 65 y n n n y n n
54 72 243 60 n y n n n y y
47 71 184 45 n y n n n n n
59 61 135 48 y y n y n n y
44 64 175 45 n n n n n y y
41 70 193 68 y n y n n n n
43 64 186 52 n y y y n y y
43 68 181 72 n y n y y n n
45 68 217 64 n y y n y n n
45 72 208 43 n n n n y n n
45 72 191 59 y y n n y n n
48 70 225 65 n y n n y y y
45 67 174 70 y y y n n n y
47 67 158 56 n y n y y n n
45 69 172 51 y y n y n n y
43 68 164 69 y n n y n n n
41 66 198 70 n n n n y y y
48 73 251 53 y n n n n y y
28 66 154 56 y y n y n n y
44 67 130 68 n y y y y n n
45 68 166 69 n n y y n n y
46 63 122 46 n y n y y y y
38 68 191 68 y y n n y n y
43 71 220 49 n y n y n y y
39 72 158 59 n n n n n y n
49 64 147 56 y y n y y n y
48 68 209 54 y y n n n y y
50 65 178 57 y y n n n y y
34 69 186 69 y y y n n y y
47 67 208 53 y n n n n y y
56 71 187 69 y y n n n n n
41 70 173 64 n n y n y n y
33 69 183 57 y n y n y n y
43 69 150 66 n n n n y n n
47 70 176 70 n n n n y n n
40 72 187 58 y y y n n n n
40 69 143 69 y y y n y y n
52 68 181 64 n n n n n n n
40 62 164 74 n y n n y n y
35 68 211 50 y n n n n n n
29 62 111 51 n y n y y y y
36 67 158 63 y n n n n n n
41 80 289 69 y n n n y n y
56 69 135 68 y y n y y n n
39 74 152 40 n n n y n y n
52 68 198 68 n n n n n n n
62 72 204 58 n y y n y y n
40 64 154 73 y n y n n n y
52 67 210 68 n y n n n n n
41 73 191 52 n n y y n n y
44 69 210 62 n y y n n y y
52 71 180 54 y y n n n y y
36 70 136 58 n y y n n n n
45 65 178 43 y y n n n y y
50 73 152 57 n y y y n n n
48 69 207 66 n y y n y n y
36 69 221 76 y n n n n y n
53 68 194 50 n y n n n n n
42 70 208 76 y n n n n y n
43 68 192 62 n y n n n n n
41 70 146 64 n y y y n y n
38 68 159 41 y y n y n y y
46 71 212 53 y y n n n n n
49 73 229 70 n y n n y y y
44 64 150 61 n n n n n n n
68 62 149 48 y y n n y y n
38 65 177 43 n y y n n y y
36 64 140 51 n y n n n y n
49 65 159 43 n n n n n n n
61 71 180 44 y n n n n n n
44 70 214 39 y y n y n y n
49 68 203 69 n y n n y n y
40 67 173 51 y n n n y n n
41 69 191 49 y y n n n n n
40 71 188 69 y y n y n n n
40 71 178 46 y y y y n n n
48 68 185 67 n n y n n y y
42 68 179 63 y y y n n n y
53 71 194 73 y y n n y n n
45 70 136 60 n n y n n y n
42 66 193 60 n y y y n y n
40 69 169 64 n y y y y n y
44 71 189 64 y n y n n n y
46 71 192 60 y n y y y n n
40 72 155 57 n y n y y y n
41 71 175 70 y y n n n n n
46 63 183 73 n y n n n n n
40 66 151 69 y y y n n n y
40 69 214 53 n n n n y n n
45 75 207 61 n y y n n n y
42 68 175 73 y y n n n n n
52 69 225 68 n y y n y n y
36 67 126 51 y n n y y n y
49 72 181 73 y y y n y n y
51 66 195 72 n n n n y n y
57 65 167 62 n n y n n n n
52 65 168 57 n n n y n y n
43 70 176 64 y y n y y n n
44 67 144 57 n y y n n y n
47 76 248 49 n n n n n n n
49 66 198 41 n y n y n n n
32 67 136 56 y n n n n n n
48 69 167 53 y y n n n n n
45 68 148 56 n n n n n y n
45 70 185 70 y y y n n y y
35 68 147 70 y y y n y n y
33 68 205 65 y y n n y n n
59 65 192 70 y y n n y n y
45 68 169 55 n y n y y n n
27 70 218 68 y y y n n y n
51 77 268 75 y y n n y n n
45 64 172 56 y y n n n y n
50 68 184 46 n y y n n n n
42 66 183 75 y y n y y n y
45 66 185 36 n n n n n y y
50 71 184 53 y n n y n n y
44 69 140 60 y y n n y y n
49 62 145 54 y y n y n y y
45 71 217 51 y y n n y y y
42 68 208 48 y y n n n n n
40 65 174 74 n n n n n n n
69 73 209 50 y n n n n n y
37 71 196 72 y y y n n n y
45 66 189 48 y n n n n y y
39 70 183 43 y y n y y n y
63 67 187 63 y y n n y n y
45 75 251 61 n y n n n n y
34 73 208 48 n y n n y n n
44 69 184 74 y y y n n n y
45 64 191 58 n n n n n y n
32 68 144 61 n n y n n n n
58 72 232 51 y n n n y n n
66 67 164 61 y y n n n n n
34 70 218 70 n n n n y n y
50 76 203 71 y y n n n n n
46 59 153 52 n y n n n y y
32 70 205 57 n n n n n n n
43 69 185 69 n y y n n y y
44 74 248 43 y y n n n y y
48 70 214 51 n y n n y y y
34 73 207 51 y y n n n n n
46 61 169 47 n y n n n y y
54 68 217 47 n y y n n y y
45 69 165 71 n n n n y n n
60 62 159 82 n y n n y n y
47 67 197 53 n y y n n n n
42 69 185 70 y y n n n n n
44 71 155 64 n y y n n n n
55 64 160 69 n y n n y n n
47 67 172 71 y n n n n n n
34 68 215 72 y n n n y y y
46 68 142 51 y n y n y y y
52 61 133 63 y y n n n n n
41 69 218 59 y y n n n y n
40 74 251 53 n y n n y n n
38 68 172 84 y n n n y n n
40 75 177 64 n n y n y y n
41 68 201 50 n n n n n n n
40 70 196 48 n y n y n n y
35 64 159 53 y n n y n n y
33 66 120 64 y y n n n n n
34 68 204 49 n y n n n y n
57 66 204 65 n y n n y n y
42 62 137 71 y y n n n n y
36 67 154 62 y y n n n y n
49 68 131 58 y n n n n y n
40 67 206 74 n y n y n y n
47 72 198 69 y y n y n y n
45 72 191 78 n y n y y n n
44 74 220 68 y y y n n n n
42 65 163 51 y n y n y n n
35 70 175 47 y y n n n y n
25 73 163 54 n n n n y y n
48 71 201 52 y y n n n y n
39 69 177 60 y y y n n y y
54 68 203 56 y y n n n y y
43 68 151 66 n y y n n y n
61 76 244 51 y y y y y y y
45 69 140 53 n n n n n n n
48 73 167 61 n n n n n y n
36 65 167 46 y y y n n n n
45 66 188 49 y y n y n n n
53 70 149 50 y y n y n n y
60 66 187 77 y y n n y n y
49 66 183 64 n y n n y n y
48 74 201 74 n y n n n n n
44 66 197 71 n y y n n n y
33 66 155 54 y y n y y y n
57 68 159 60 n y y y y y n
48 71 210 66 n y n n y n y
42 75 198 69 y y y n n n n
47 63 152 70 n n y n n n y
55 73 228 47 y y n n n n n
61 68 172 74 n n y n n n y
54 73 227 75 y y n n n n n
52 70 196 70 n y n y n n n
33 68 201 58 y y n n n y n
57 65 174 72 n y y n y y n
31 65 197 42 n y y n n y y
37 70 155 60 y y n n y y n
44 68 168 48 n n y y n n y
41 69 220 65 y y n n y n n
50 61 139 70 n y y n y y y
58 75 197 46 n y y n y n n
46 75 210 50 y n n y n y y
40 64 173 54 n y n n n y y
39 69 179 70 n y n n n n n
45 74 203 56 n y n y y y y
41 71 190 64 y y y y n n y
49 61 157 74 n y n n y y y
58 68 202 63 n y n y y y n
43 67 198 75 n y n n n n n
46 70 193 79 y n n n y n n
54 68 210 55 n n y n n n n
44 69 218 52 y y y y n n y
45 67 207 61 n y n n n y y
53 66 155 47 n y n n n n n
46 69 168 62 n n n n y n n
42 68 170 56 y y n y n n y
65 74 245 54 n n n n y n n
36 72 184 74 n y n n n n n
52 63 149 60 n n n y n n y
47 64 142 71 y y n n n n y
43 65 158 48 n n n y n y n
46 67 199 58 n y n n n y y
39 75 213 59 y n n y n n y
44 69 201 68 n y n n n n n
43 67 136 62 n y y y y n n
38 71 238 44 n n n n n n n
39 75 200 56 n y n y n n y
42 63 139 71 n y y n n n y
37 64 179 70 n y n n n y y
52 63 106 62 y n n n n n n
47 69 222 50 y y n n n y y
51 68 207 44 y n n n n y y
46 76 202 76 y y n n n n n
55 71 213 49 n y n n n n n
36 68 199 49 y n n y n y y
43 66 194 59 y y n n n y y
36 76 203 72 n y y y n n y
62 59 122 49 n n y y y n y
47 68 217 47 n y n n n y y
44 72 171 62 y y n n n n n
48 65 153 70 y y y n n n y
45 68 162 46 y y y n n n n
50 68 131 58 n n y n y n n
51 68 175 70 n n y n n n y
50 66 196 60 n y n n y y n
46 64 185 72 y y n y y y y
53 71 203 50 n n n n y y n
41 72 222 59 y n n y y n y
51 69 216 70 y y n n n n n
38 62 145 70 n y y n n y y
45 72 188 70 y n y n y n y
45 64 143 49 y y n y y n y
50 68 128 63 y y y n y n n
41 70 196 65 y n y n y y n
52 75 201 55 n y n y n n y
37 65 114 63 y n n n y n n
61 65 144 70 y y n y n n n
42 71 231 74 y y n n n n n
46 71 221 67 y n n y y n y
43 62 123 64 n n n n y y n
56 70 205 45 n y n n y n n
51 68 177 82 n y n n n y n
53 77 265 46 y y n n y n n
37 64 183 77 n y n n n y n
38 66 202 48 n n n n n y y
36 66 198 66 n y n n n n n
47 67 208 71 n y n y n n n
44 68 161 70 n y n n n n n
52 65 152 50 n y y n n n n
47 67 178 69 n n n n n n y
45 69 180 49 y y y y n n y
48 69 210 70 y n n n n n n
43 68 127 65 y n y n n n n
50 68 132 64 n y y n y y n
45 67 128 56 y y y n n n n
36 70 220 71 n y n n y n y
48 76 250 67 n y n n y n y
53 68 176 50 n y n y n n y
40 68 148 63 n y y y n y n
57 71 184 60 y y y n n n n
45 66 141 61 n y y y y y n
39 69 191 68 y n n y n n n
38 68 209 46 y y n n n n n
47 65 163 50 n y n y n n y
35 70 174 68 n y n n y n y
36 62 137 69 n y n n n n n
54 68 198 80 n y n n y n y
39 68 181 66 y y n n n n n
36 64 191 52 y y y n n y y
37 69 145 58 n y n n n y y
52 70 212 60 y y y n n y n
60 71 226 75 n n y n n y n
51 65 151 60 n y y y n n n
39 68 216 49 n y n n n n n
37 70 149 73 n y n n n n n
49 71 151 59 y y n y y y n
44 67 166 64 n n n n y n n
56 64 161 56 y y n n n n y
45 68 198 74 n n n n n n n
38 70 218 45 n y n n n n n
47 70 205 58 n y n n n y y
38 70 189 70 n n n n y n n
34 68 200 46 y y n y n n n
39 74 205 65 y y n n n y n
43 68 161 57 y y n y y n y
44 65 174 50 n y y n n y y
45 70 174 67 y y y n n n y
53 67 199 48 n y n n n n n
41 67 202 50 y n n n n n n
45 70 216 77 y y n n n n n
43 67 194 50 n n n n n y y
45 77 174 62 y n y y n y n
46 67 188 51 n y n y n n n
38 65 198 46 y y n n n n y
45 68 207 70 y y n n y n y
42 67 154 74 n y n n n y n
45 63 181 61 n y n n y n n
43 67 143 51 n y n n n y y
40 72 150 66 n y n n y n n
42 66 170 70 n y y n y n y
46 69 201 49 y y n n y y y
68 63 155 50 n y n n n n n
52 72 194 48 n y n n n y n
33 62 137 52 n y n n n n n
41 65 160 49 n n n n n y y
41 66 191 53 n n n n n n n
39 64 184 47 y y n n n y y
45 62 148 44 n y n y n n y
44 66 172 68 y y n n y y y
45 68 173 51 y y n y n n y
54 63 183 70 n n y n n n n
50 67 167 66 n y n n n y n
35 67 186 66 y y n n n n n
46 68 166 60 n n n n n n n
48 69 185 56 n n y y n n y
31 64 154 74 y y y n n n n
47 65 191 70 y y y n n n n
28 76 221 59 y y y n y y n
54 68 216 50 n n n n n y y
48 60 133 64 y n n y n n n
57 66 151 70 n y y y y n y
42 79 266 72 n n n n y n y
45 65 193 53 n y n y y y y
52 70 139 59 y y y n n y n
53 65 174 74 y n n n y n y
56 64 182 52 n y n y y n n
62 64 144 46 n y y n n n n
46 71 183 49 y n n n n y n
37 68 212 73 y y n n y n y
47 65 159 69 y y y n y n y
46 66 194 67 y n n y n y n
27 62 174 48 y y n n n n n
50 67 176 46 n y n n y y n
51 67 178 60 n n n y n n n
49 72 243 58 n y n n y n n
45 71 157 59 y n n n n n n
46 62 137 52 n y n n y y n
53 63 112 43 n y n n n n n
50 68 146 48 n n n y n n n
36 64 169 70 y y n n n n y
42 68 194 70 y y n y n n y
46 68 193 65 n y n y n y n
49 67 159 45 n y n n n n n
43 72 204 75 n y y n n y n
47 69 166 54 n y y n n n n
46 66 188 51 y y y n n n n
43 68 129 70 y y n y n n y
47 69 212 55 y y n n n n n
43 71 217 79 n y n y n n n
43 74 254 73 n y n n y n y
47 73 152 58 y y n n n n y
45 63 155 73 y y y y n y y
47 72 234 50 n y n n n n n
41 73 250 47 n y y n n n y
42 73 232 63 y n n y y y n
42 68 160 57 n y y n n n n
44 72 160 48 n n n n n y y
41 67 154 66 y n n n n n n
43 68 192 71 y y y n n y n
50 69 218 52 n y n n n n n
47 67 164 43 y n n n n n n
42 75 251 75 n n y n y n y
47 68 173 53 y n n y n n y
45 63 107 63 n y n n n n n
41 70 178 44 n y n y n n y
45 68 178 72 n y n n n n n
45 71 189 47 n n n y n n y
55 59 107 71 y y y n n n n
56 64 169 56 n y n y n n n
59 67 200 48 n n n n n n n
39 64 120 51 n y n y y n n
45 63 166 71 y n n n n n n
45 69 210 72 y y n y n n n
54 68 199 51 n y n n y y n
51 68 177 65 n y n n n n n
51 71 159 59 y y n n y y n
50 64 188 74 n n y y n y y
31 66 172 47 y y y y n y y
50 68 212 42 y y n n n n n
48 61 172 58 n n n n n y y
52 65 123 69 y y n n y y n
51 68 175 60 y y y n n n n
40 68 161 49 y y n y n n y
36 69 178 46 n y n y n y y
49 72 232 70 n n n y n n n
46 74 218 70 n n y n n n n
50 72 238 70 y y n y y n y
59 69 180 50 n y y y n n y
55 69 208 39 n y n y n n n
42 75 227 54 y y n y n n y
45 68 205 55 y y n n n n y
60 69 217 49 y n n n n n n
55 70 205 65 y y n y y n y
37 68 185 64 y n y n n n y
38 67 129 57 y n n n y n y
38 65 177 42 y y n n n n y
49 60 137 53 n y n y n n y
53 70 227 46 y y n n y y y
46 74 213 68 y n y n n n y
47 68 216 46 y n n n n y y
39 63 143 69 y n y y n n n
54 68 197 69 y y n n y n y
49 65 145 77 n y y n n n y
44 68 200 69 n y y n y n y
41 65 149 50 n y n n y y n
40 65 160 54 n n n n y y n
38 74 207 61 y y n y n n n
49 70 174 74 n n y y n n y
37 69 220 46 y y y n n n n
51 73 200 71 n y y n n y y
54 66 120 72 n y n n n n n
57 63 179 46 n y n n n y y
64 68 161 62 y y y n n n y
51 69 164 60 n y n n y y n
46 63 121 64 y y n y n n n
53 70 227 52 n n n n n n n
41 66 159 49 y y n n y n n
67 67 166 61 y y n y y n n
30 68 205 48 n n n n y n n
49 66 182 45 n n n n n y n
63 63 152 53 y n n y n n y
45 72 242 60 y n n y y y n
57 70 169 59 n y y n n n n
53 68 173 53 y n y y y y n
42 64 161 45 y y y n n n y
46 68 185 53 y y n y n y y
48 67 188 55 n n n n n n n
45 73 185 74 y y y y y y y
42 64 111 51 n y y n n y n
48 63 154 60 y y n n n n n
44 69 219 50 n y n n n y n
48 69 147 65 n y y n y y n
45 68 202 55 y y n n y y y
42 68 199 47 n y n n n n n
44 68 180 49 y n n y n n y
39 68 161 53 y n n n n n n
46 70 144 57 n y y y n n n
37 67 185 48 n y n n n n n
38 69 167 59 n n n n n y n
44 71 219 45 n n n y n n y
47 73 242 65 y n n n y n y
45 72 238 50 n y n n n y y
54 80 286 60 n y y y y n n
46 68 200 58 n n y n n y n
48 68 169 65 y n y n n n n
32 64 120 60 y n y n n n n
52 70 180 72 n y n n y n n
42 67 204 63 y y n y y y n
49 71 155 66 n y n n n n n
42 62 121 60 y y n y n n n
52 64 170 45 y n n n n n n
57 66 183 52 y n n n n y y
51 67 199 67 n y n n y y y
46 69 156 60 n y y y n n y
39 64 174 72 y y y y n n y
63 67 124 46 y y n n n y y
40 70 137 68 y y n n n n n
52 65 197 62 n n n n y y y
41 68 162 80 n y n y y n n
45 70 195 73 n n y n n n y
45 69 202 70 n y n y n n n
28 73 193 54 y y n n n y n
49 67 203 72 n n y n n n n
44 66 168 60 y n y n n n y
45 68 173 60 y y y y y n n
44 64 180 42 y n n n n y y
48 72 181 59 y y y n y n n
45 67 187 53 y n n y n n y
33 68 173 50 y y n y n n y
54 64 152 74 n n n y y n n
39 70 187 56 y y n y n n n
60 70 217 54 y n n y n n y
49 63 152 49 n y n n n y n
37 66 158 71 y n n n y n n
43 63 136 50 n y n y n n y
35 72 226 74 y y n n n y n
34 66 197 50 y y n y n n n
60 66 187 43 y y y y n y n
41 69 221 53 y n n n n n n
37 69 204 41 y y n n n y y
50 71 187 49 n n y y y n y
45 70 204 49 n y n n n n n
43 71 237 77 y y n n y n y
46 66 173 48 n y n n n n n
47 68 215 66 n n y n y y y
35 68 174 55 y y n n n n n
29 64 145 68 n n n n y n y
53 71 211 49 n y n n n y y
52 70 213 72 y n n y y n y
48 66 186 75 y n n n n n n
53 68 199 64 y y n n n n n
36 66 157 73 n y y n n n y
57 72 209 46 n y n n n y n
38 70 193 74 y y n n n n n
40 68 172 54 y y y n y n n
55 61 155 63 y y n n y y n
39 72 180 51 n n n n y n n
50 67 209 71 y n n n n n n
33 65 125 55 n y y y n y n
67 77 207 77 n y n y n n n
43 62 146 67 y y y n n n n
52 68 214 52 y y n y n n n
52 70 190 76 n y y y n n y
31 67 154 50 n n y y y y y
45 69 172 76 n n n n n n n
52 67 188 41 y y y n y y y
47 68 203 49 n y n n n n n
40 68 150 46 y n n n n n n
43 57 110 51 n y n n n n n
27 70 228 47 y y n n n n n
32 67 205 70 y y y n y n n
52 72 169 64 y y n n n n n
37 72 228 49 y y n n y y y
35 68 162 58 y y n y n n y
57 74 202 56 n y n y n n n
47 70 185 44 y y n n n n n
41 61 137 53 y y n y n y y
50 73 194 70 n y y n y n y
43 63 179 71 n n y n y n y
36 71 186 67 n y n n y n n
74 68 140 66 n y y y n n n
50 71 153 62 y y n y n y n
40 65 131 63 n y n y n n n
54 73 194 47 y y y n n n n
44 62 161 53 n y n y n n n
39 68 197 65 y y y n y n y
51 71 223 62 n y n y y y n
44 74 208 61 y y y n y n y
26 63 128 50 n y n y n n y
52 60 149 62 y n n n n n n
32 70 188 71 n y y n n n y
33 64 152 61 n y y n n y n
55 65 144 70 n n y n y n y
46 69 165 49 y y y y y n y
45 68 172 63 y n y n y n y
43 69 165 72 n y y n n n y
47 71 184 60 n y n n y n n
50 66 191 65 y y n n y y y
36 68 208 36 n y n n n y y
57 67 190 72 n y n n n n n
39 68 198 52 n y n n n y y
52 66 172 46 n y n y n n y
49 73 164 75 y n n n n n n
45 67 203 69 n y n n y y n
43 69 169 79 n n n n n n n
40 68 140 61 y y n n n n n
61 66 181 52 n n y n n y y
35 62 124 57 y n n n y y n
39 63 127 51 n y n n n n n
58 68 183 75 n y y n n y y
48 71 221 50 n y y n n n n
49 69 199 67 n n n n y y n
44 63 109 60 n n n n n n n
45 69 225 48 y y n n n n n
46 68 165 55 y y n n n n n
49 62 162 53 n y n n n n n
34 69 212 64 n y y n n y n
35 67 173 59 y n n n n n n
43 68 174 68 n y n y n y n
45 68 210 56 n y y n n y n
54 71 200 51 y n n y y n y
49 71 212 48 n y n n y n n
39 68 210 65 n y n y y n y
51 73 251 71 y y y y n n y
49 66 171 72 n n n n y n n
43 69 181 63 n y n n y n n
45 73 222 52 n n y n n n n
45 70 221 53 n y y n n y y
41 79 286 49 n y n n n n n
63 64 176 59 n y n n n n n
40 64 162 59 n y y n n n n
55 76 213 54 y y n n n y n
32 64 122 74 n y n n n n y
56 68 204 55 y y n n n y y
39 65 149 50 n y n n n n y
35 64 157 77 n y y n n n y
44 67 158 51 y y y n n n n
38 71 221 73 y y n y y n y
53 69 165 54 n y n n n n n
40 68 201 73 y y n n n y n
42 68 149 66 n y y n n y n
48 71 212 43 n y n n n y y
48 64 160 52 y y y y n n y
46 68 214 75 y y n n y n y
50 64 133 65 y y n n y y n
41 70 231 61 y y y n n y n
38 66 192 56 y n n y n n y
47 60 148 70 y y y n y n y
39 71 138 69 n y y n n n n
50 69 210 50 y n y n n n n
42 68 172 59 n y n n y n n
43 68 127 51 y y n y n n y
59 63 157 62 n n y y n n n
30 71 222 45 n y n n y y y
55 68 198 60 n y n n n y n
34 68 195 72 n y y n n n y
41 70 178 73 n n n n n n n
55 69 169 47 y n n y n n y
38 67 154 58 n n n n n n n
44 70 191 60 n y n n y n n
42 72 228 65 y n n n y n n
37 68 215 51 y y n n n y y
48 76 267 65 n y n n y n y
44 67 201 69 n n y n y n y
48 65 147 70 y y y y y n y
37 62 132 71 n y n n n n n
54 66 190 48 n y n n y y y
36 68 197 51 n n n y n n n
37 59 118 77 y y n n n n n
48 72 184 48 n n n n y n n
40 72 184 52 y y n y n y y
40 64 181 57 y y n n y y y
41 68 162 73 n y y y n y n
52 64 181 73 n y y y n n y
55 63 124 59 n y n n n n n
43 64 172 64 n y n n y n y
36 71 222 71 n n n n n n n
54 72 203 70 y n n n n n n
56 65 147 69 n y y n n n y
38 65 168 64 n y n y y y n
48 68 210 79 y n n y n n n
43 67 194 49 y y y n n y n
56 68 193 51 n y y n n y y
45 70 188 65 n n n y n n n
37 68 184 73 n y y n n n y
43 70 227 53 y y y n n y y
50 68 207 53 n y n n n y y
55 68 214 69 n n n n y n y
36 73 247 80 n y n n n n y
39 63 171 64 y y n n y y y
49 72 181 73 y n y n n n y
38 71 216 50 n y n n n y y
45 64 181 70 y y n n y n n
40 69 206 61 n y n n y n y
48 68 203 48 y y n n n n n
44 68 172 70 n y n n y n y
45 66 182 66 y n n n y n y
54 67 206 46 n y n y n n n
42 69 175 68 y y n y n n n
32 68 196 70 y y y n y n y
41 73 237 53 n n n n n n n
37 73 174 72 n n y y n y n
38 69 222 46 y n n y y n n
53 67 185 54 n n n n n y y
49 66 180 53 y n n n y n n
36 62 163 71 y n n n y n y
53 62 177 70 n n n n y y y
53 71 166 56 n n n n n y y
45 66 181 54 n y n y n y y
41 67 210 70 n y n n n y n
30 68 194 50 y y n n y n y
53 65 158 51 n y n n n n n
58 68 195 71 n y y y n n n
50 68 185 60 n y n n n n n
41 65 176 58 n y n n n y y
38 71 149 62 n y y y n n n
46 64 184 54 n n n n n y y
37 72 146 62 y y y y n n n
47 66 164 65 n y n n n y n
45 76 216 70 y y n n n n n
33 67 158 58 y y y n n n y
40 73 190 50 n y n y n n y
43 73 238 60 n y n n y n n
48 68 211 64 n y n n n n n
38 69 198 60 n y y y n n n
49 71 184 49 n y n n n n y
42 71 217 49 y n n y y y y
48 69 188 68 n y y n n n y
58 65 161 55 n y n y n n y
46 69 154 56 n y n n y y n
55 70 174 53 n y n n n n y
51 70 226 55 y y n n n y y
46 68 175 73 y n n n n n n
45 71 150 60 y y y y y n n
38 73 185 51 n y n y n n y
52 70 227 39 n n n n n y y
44 72 233 68 y y n n y n n
46 62 131 49 y n n y y n n
41 68 201 68 y y n y n n y
45 68 199 50 y y n n n n n
34 67 210 70 y n y n n y n
47 68 205 74 n y n n y n y
35 68 197 60 n y n n n y y
48 67 199 60 y y y y n y n
51 70 181 56 y y n y n n y
45 65 189 73 y n n n y y n
44 68 206 47 y n n n y n n
31 69 154 59 y y n y n n y
55 70 181 70 y y n n n n n
